UA-Ange: 0, ForearmStretched: 221, Forearm: 91, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
51.14665, 17, 418, 91, -90, 0
51.14665, 17, 418, 91, -90, 0
51.16665, 17, 418, 91, -90, 0
51.19291, 17, 418, 91, -90, 0
51.20852, 17, 418, 91, -90, 0
51.22258, 17, 418, 91, -90, 0
51.23768, 17, 418, 91, -90, 0
51.25275, 418, 162, 91, -90, 17
51.26913, 17, 418, 91, -90, 0
51.28389, 17, 418, 91, -90, 0
51.29981, 17, 417, 91, -90, 0
51.31455, 17, 418, 91, -90, 0
51.3298, 17, 418, 92, -89.30769, 0
51.34288, 17, 418, 91, -90, 0
51.35453, 17, 418, 91, -90, 0
51.37357, 17, 418, 91, -90, 0
51.3882, 17, 418, 91, -90, 0
51.40268, 17, 418, 91, -90, 0
51.41799, 17, 418, 91, -90, 0
51.43384, 17, 418, 91, -90, 0
51.45052, 17, 418, 91, -90, 0
51.46733, 0, 17570, 91, -90, 23551
51.48416, 17, 418, 91, -90, 0
51.50107, 17, 418, 91, -90, 0
51.51608, 17, 417, 91, -90, 0
51.5306, 17, 418, 92, -89.30769, 0
51.54513, 16, 418, 91, -90, 0
51.55952, 16, 418, 91, -90, 0
51.58391, 16, 418, 91, -90, 0
51.60094, 16, 418, 91, -90, 0
51.61568, 17, 418, 91, -90, 0
51.63285, 17, 417, 91, -90, 0
51.64715, 17, 418, 92, -89.30769, 0
51.66571, 17, 418, 91, -90, 0
51.68412, 17, 418, 91, -90, 0
51.69652, 17, 418, 91, -90, 0
51.71229, 17, 418, 91, -90, 0
51.72901, 17, 418, 91, -90, 0
51.74419, 17, 418, 91, -90, 0
51.75873, 16, 418, 91, -90, 0
51.7727, 17, 418, 92, -89.30769, 0
51.79121, 17, 418, 92, -89.30769, 0
51.80458, 16, 418, 91, -90, 0
51.81895, 17, 418, 91, -90, 0
51.83406, 17, 418, 91, -90, 0
51.84795, 17, 418, 91, -90, 0
51.86049, 17, 418, 91, -90, 0
51.87189, 17, 418, 91, -90, 0
51.88506, 17, 418, 91, -90, 0
51.89827, 17, 418, 91, -90, 0
51.90856, 17, 418, 91, -90, 0
51.92439, 17, 418, 91, -90, 0
51.93632, 17, 417, 91, -90, 0
51.9511, 17, 418, 91, -90, 0
51.96388, 17, 418, 91, -90, 0
51.97786, 16, 418, 91, -90, 0
51.99064, 17, 418, 91, -90, 0
52.0069, 17, 418, 91, -90, 0
52.02052, 17, 418, 91, -90, 0
52.03497, 17, 418, 91, -90, 0
52.05132, 16, 418, 91, -90, 0
52.06585, 17, 418, 91, -90, 0
52.07983, 17, 417, 91, -90, 0
52.12892, 17, 417, 91, -90, 0
52.14183, 17, 417, 91, -90, 0
52.1682, 16, 418, 91, -90, 0
52.17989, 17, 417, 91, -90, 0
52.20002, 16, 418, 91, -90, 0
52.21215, 17, 418, 91, -90, 0
52.24763, 17, 417, 91, -90, 0
52.2553, 17, 418, 91, -90, 0
52.26882, 17, 418, 91, -90, 0
52.29287, 17, 418, 91, -90, 0
52.31588, 17, 418, 91, -90, 0
52.32978, 16, 418, 91, -90, 0
52.34786, 17, 417, 91, -90, 0
52.36238, 17, 418, 91, -90, 0
52.3839, 17, 418, 91, -90, 0
52.39881, 17, 417, 91, -90, 0
52.41321, 17, 418, 91, -90, 0
52.43588, 16, 418, 91, -90, 0
52.44965, 17, 418, 91, -90, 0
52.46312, 17, 417, 91, -90, 0
52.48264, 17, 418, 91, -90, 0
52.49265, 17, 417, 91, -90, 0
52.5107, 17, 417, 91, -90, 0
52.53361, 17, 417, 91, -90, 0
52.54815, 17, 418, 91, -90, 0
52.5585, 17, 418, 91, -90, 0
52.57401, 17, 417, 91, -90, 0
52.59153, 17, 417, 91, -90, 0
52.60974, 17, 417, 91, -90, 0
52.62454, 17, 417, 91, -90, 0
52.63937, 17, 417, 91, -90, 0
52.65217, 17, 417, 91, -90, 0
52.68394, 16, 417, 91, -90, 0
52.69155, 16, 417, 91, -90, 0
52.70677, 17, 417, 91, -90, 0
52.72426, 17, 416, 91, -90, 0
52.74047, 17, 417, 91, -90, 0
52.75612, 17, 417, 91, -90, 0
52.77406, 17, 416, 91, -90, 0
52.78911, 17, 417, 92, -89.30769, 0
52.80327, 17, 417, 91, -90, 0
52.82132, 16, 417, 91, -90, 0
52.83533, 17, 417, 91, -90, 0
52.85446, 17, 417, 91, -90, 0
52.86975, 17, 417, 91, -90, 0
52.88348, 17, 417, 91, -90, 0
52.906, 17, 417, 91, -90, 0
52.92252, 17, 416, 91, -90, 0
52.9343, 16, 417, 91, -90, 0
52.95359, 17, 416, 91, -90, 0
