UA-Ange: 0, ForearmStretched: 239, Forearm: 110, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
23.18526, 278, 418, 148, -63.48837, 0
23.18526, 282, 418, 148, -63.48837, 0
23.20527, 280, 418, 148, -63.48837, 0
23.23641, 274, 419, 148, -63.48837, 0
23.25174, 270, 419, 148, -63.48837, 0
23.26669, 268, 419, 148, -63.48837, 0
23.28756, 270, 419, 148, -63.48837, 0
23.30207, 272, 419, 148, -63.48837, 0
23.31784, 272, 418, 148, -63.48837, 0
23.33704, 271, 418, 148, -63.48837, 0
23.34971, 1, 4609, 41876, 29049.07, 65280
23.36728, 296, 418, 148, -63.48837, 0
23.3839, 303, 418, 148, -63.48837, 0
23.39892, 315, 418, 148, -63.48837, 0
23.41323, 322, 418, 148, -63.48837, 0
23.42941, 332, 419, 148, -63.48837, 0
23.4451, 342, 419, 148, -63.48837, 0
23.46148, 349, 419, 148, -63.48837, 0
23.47488, 355, 418, 148, -63.48837, 0
23.48951, 366, 419, 148, -63.48837, 0
23.50715, 378, 419, 148, -63.48837, 0
23.5222, 391, 419, 148, -63.48837, 0
23.5367, 403, 419, 148, -63.48837, 0
23.55431, 410, 419, 148, -63.48837, 0
23.56846, 419, 418, 148, -63.48837, 0
23.58316, 427, 418, 148, -63.48837, 0
23.59968, 434, 418, 148, -63.48837, 0
23.61611, 436, 417, 148, -63.48837, 0
23.62826, 437, 417, 148, -63.48837, 0
23.64626, 440, 416, 148, -63.48837, 0
23.66465, 445, 416, 148, -63.48837, 0
23.67904, 451, 415, 148, -63.48837, 0
23.69482, 452, 415, 148, -63.48837, 0
23.7087, 451, 415, 148, -63.48837, 0
23.72289, 452, 415, 148, -63.48837, 0
23.73854, 450, 414, 149, -62.7907, 0
23.75257, 453, 414, 149, -62.7907, 0
23.76724, 454, 414, 149, -62.7907, 0
23.78102, 458, 414, 149, -62.7907, 0
23.79763, 460, 413, 149, -62.7907, 0
23.81071, 466, 414, 149, -62.7907, 0
23.82767, 474, 414, 149, -62.7907, 0
23.84271, 477, 415, 149, -62.7907, 0
23.85792, 481, 416, 149, -62.7907, 0
23.87175, 483, 416, 149, -62.7907, 0
23.88612, 486, 416, 149, -62.7907, 0
23.90041, 489, 417, 148, -63.48837, 0
23.917, 496, 417, 148, -63.48837, 0
23.9297, 499, 418, 148, -63.48837, 0
23.94469, 505, 418, 148, -63.48837, 0
23.95945, 512, 418, 148, -63.48837, 0
23.97551, 522, 418, 148, -63.48837, 0
23.98798, 538, 418, 148, -63.48837, 0
24.00177, 542, 417, 148, -63.48837, 0
24.01666, 549, 418, 148, -63.48837, 0
24.03835, 546, 417, 148, -63.48837, 0
24.05075, 546, 417, 148, -63.48837, 0
24.06924, 542, 418, 148, -63.48837, 0
24.08223, 536, 418, 148, -63.48837, 0
24.09871, 527, 417, 148, -63.48837, 0
24.1134, 517, 417, 148, -63.48837, 0
24.13001, 514, 418, 148, -63.48837, 0
24.16378, 519, 418, 148, -63.48837, 0
24.17202, 525, 417, 148, -63.48837, 0
24.18506, 525, 418, 148, -63.48837, 0
24.20018, 518, 417, 148, -63.48837, 0
24.22632, 507, 418, 148, -63.48837, 0
24.24208, 501, 418, 148, -63.48837, 0
24.26013, 494, 418, 148, -63.48837, 0
24.27543, 489, 418, 148, -63.48837, 0
24.29058, 483, 419, 148, -63.48837, 0
24.30681, 472, 419, 148, -63.48837, 0
24.32405, 465, 419, 148, -63.48837, 0
24.35603, 456, 419, 148, -63.48837, 0
24.36879, 449, 419, 148, -63.48837, 0
24.3838, 444, 418, 148, -63.48837, 0
24.40409, 437, 419, 148, -63.48837, 0
24.42073, 433, 419, 148, -63.48837, 0
24.44043, 429, 419, 148, -63.48837, 0
24.46064, 422, 419, 148, -63.48837, 0
24.48194, 420, 419, 148, -63.48837, 0
24.5019, 416, 419, 148, -63.48837, 0
24.52332, 414, 420, 148, -63.48837, 0
24.5388, 406, 420, 148, -63.48837, 0
24.55972, 400, 420, 148, -63.48837, 0
24.58108, 395, 420, 148, -63.48837, 0
24.60139, 390, 419, 148, -63.48837, 0
24.6201, 389, 420, 148, -63.48837, 0
24.6416, 383, 418, 148, -63.48837, 0
24.6599, 376, 419, 148, -63.48837, 0
24.67867, 376, 419, 147, -64.18604, 0
24.69906, 376, 419, 148, -63.48837, 0
24.71892, 375, 419, 148, -63.48837, 0
24.73975, 372, 419, 148, -63.48837, 0
24.76132, 368, 419, 148, -63.48837, 0
