UA-Ange: 0, ForearmStretched: 221, Forearm: 91, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
493.993, 17, 419, 116, -72.69231, 0
493.993, 17, 419, 116, -72.69231, 0
494.013, 16, 419, 116, -72.69231, 0
494.0341, 17, 419, 116, -72.69231, 0
494.0517, 17, 418, 116, -72.69231, 0
494.0687, 16, 419, 116, -72.69231, 0
494.0858, 17, 419, 116, -72.69231, 0
494.0992, 17, 419, 117, -72, 0
494.1151, 17, 419, 116, -72.69231, 0
494.1349, 17, 419, 116, -72.69231, 0
494.1525, 17, 419, 116, -72.69231, 0
494.1683, 16, 419, 116, -72.69231, 0
494.1847, 16, 419, 116, -72.69231, 0
494.204, 17, 418, 117, -72, 0
494.2234, 17, 419, 116, -72.69231, 0
494.2444, 17, 419, 116, -72.69231, 0
494.2533, 17, 419, 116, -72.69231, 0
494.2833, 17, 419, 116, -72.69231, 0
494.2897, 17, 419, 116, -72.69231, 0
494.3079, 17, 419, 117, -72, 0
494.3186, 17, 419, 116, -72.69231, 0
494.3372, 17, 419, 116, -72.69231, 0
494.3531, 16, 419, 116, -72.69231, 0
494.3718, 16, 419, 116, -72.69231, 0
494.3901, 17, 419, 116, -72.69231, 0
494.4074, 16, 419, 116, -72.69231, 0
494.4215, 16, 419, 116, -72.69231, 0
494.4403, 16, 419, 116, -72.69231, 0
494.4579, 16, 419, 116, -72.69231, 0
494.4725, 17, 419, 116, -72.69231, 0
494.492, 17, 419, 116, -72.69231, 0
494.5127, 17, 420, 117, -72, 0
494.5319, 17, 420, 116, -72.69231, 0
494.5533, 17, 419, 116, -72.69231, 0
494.5684, 17, 419, 116, -72.69231, 0
494.5878, 17, 419, 116, -72.69231, 0
494.6091, 17, 419, 116, -72.69231, 0
494.63, 17, 419, 116, -72.69231, 0
494.6486, 17, 419, 116, -72.69231, 0
494.6691, 16, 419, 116, -72.69231, 0
494.685, 16, 419, 116, -72.69231, 0
494.7065, 17, 419, 116, -72.69231, 0
494.7289, 16, 419, 116, -72.69231, 0
494.7464, 16, 419, 117, -72, 0
494.7674, 16, 418, 116, -72.69231, 0
494.7998, 16, 418, 117, -72, 0
494.8045, 16, 419, 116, -72.69231, 0
494.8294, 16, 419, 116, -72.69231, 0
494.8478, 17, 419, 116, -72.69231, 0
494.8655, 17, 418, 117, -72, 0
494.8857, 17, 418, 117, -72, 0
494.9021, 16, 419, 117, -72, 0
494.9225, 16, 419, 116, -72.69231, 0
494.944, 17, 419, 116, -72.69231, 0
494.9648, 17, 419, 116, -72.69231, 0
494.9855, 17, 418, 117, -72, 0
495.0049, 17, 418, 116, -72.69231, 0
495.0229, 16, 419, 116, -72.69231, 0
495.0431, 16, 418, 116, -72.69231, 0
495.064, 16, 419, 116, -72.69231, 0
495.0855, 17, 418, 116, -72.69231, 0
495.1084, 17, 418, 117, -72, 0
495.1252, 16, 418, 117, -72, 0
495.142, 17, 419, 116, -72.69231, 0
495.1666, 16, 419, 116, -72.69231, 0
495.1837, 16, 418, 116, -72.69231, 0
495.2043, 17, 419, 117, -72, 0
495.2236, 16, 418, 116, -72.69231, 0
495.2426, 17, 418, 116, -72.69231, 0
495.2639, 17, 418, 116, -72.69231, 0
495.2812, 17, 418, 116, -72.69231, 0
495.3013, 17, 419, 116, -72.69231, 0
495.3212, 17, 419, 116, -72.69231, 0
495.3392, 17, 418, 117, -72, 0
495.3625, 17, 418, 117, -72, 0
495.3792, 17, 418, 117, -72, 0
495.3998, 16, 419, 116, -72.69231, 0
495.4192, 16, 419, 117, -72, 0
495.4406, 17, 419, 116, -72.69231, 0
495.4617, 17, 419, 117, -72, 0
495.4811, 17, 418, 116, -72.69231, 0
495.4981, 17, 419, 116, -72.69231, 0
495.5179, 17, 419, 116, -72.69231, 0
495.5383, 17, 419, 116, -72.69231, 0
495.5596, 17, 419, 116, -72.69231, 0
495.5803, 17, 419, 116, -72.69231, 0
495.5954, 17, 419, 116, -72.69231, 0
495.6147, 16, 419, 117, -72, 0
495.6369, 17, 419, 116, -72.69231, 0
495.6577, 17, 419, 116, -72.69231, 0
495.6794, 17, 419, 116, -72.69231, 0
495.6987, 16, 418, 116, -72.69231, 0
495.715, 17, 419, 116, -72.69231, 0
495.735, 16, 419, 116, -72.69231, 0
495.7556, 16, 419, 116, -72.69231, 0
495.7758, 16, 419, 116, -72.69231, 0
495.7957, 16, 419, 116, -72.69231, 0
495.8166, 17, 418, 116, -72.69231, 0
495.8326, 17, 419, 116, -72.69231, 0
495.8534, 17, 419, 116, -72.69231, 0
495.8748, 17, 419, 116, -72.69231, 0
495.8952, 16, 419, 116, -72.69231, 0
495.9153, 17, 419, 116, -72.69231, 0
495.935, 17, 419, 116, -72.69231, 0
495.9516, 17, 419, 116, -72.69231, 0
495.9721, 17, 420, 116, -72.69231, 0
495.9927, 16, 419, 116, -72.69231, 0
496.0173, 16, 419, 116, -72.69231, 0
496.0346, 17, 419, 116, -72.69231, 0
496.0537, 17, 419, 116, -72.69231, 0
496.0692, 17, 419, 116, -72.69231, 0
496.0941, 16, 419, 116, -72.69231, 0
496.1143, 17, 419, 116, -72.69231, 0
496.1324, 16, 419, 116, -72.69231, 0
496.1534, 17, 419, 116, -72.69231, 0
496.175, 16, 419, 116, -72.69231, 0
496.1882, 17, 419, 116, -72.69231, 0
496.209, 17, 419, 116, -72.69231, 0
496.2296, 16, 419, 116, -72.69231, 0
496.2503, 17, 419, 116, -72.69231, 0
496.2704, 16, 419, 116, -72.69231, 0
496.2863, 16, 419, 116, -72.69231, 0
496.3068, 17, 418, 116, -72.69231, 0
496.3283, 17, 419, 116, -72.69231, 0
496.3486, 17, 419, 116, -72.69231, 0
496.3687, 17, 419, 116, -72.69231, 0
496.3891, 16, 419, 116, -72.69231, 0
496.4073, 17, 419, 116, -72.69231, 0
496.4276, 17, 419, 116, -72.69231, 0
496.4468, 17, 419, 116, -72.69231, 0
496.4674, 17, 419, 116, -72.69231, 0
496.4877, 16, 419, 116, -72.69231, 0
496.5085, 17, 418, 116, -72.69231, 0
496.5279, 17, 419, 116, -72.69231, 0
496.547, 17, 419, 116, -72.69231, 0
496.5669, 17, 419, 116, -72.69231, 0
496.5864, 17, 419, 116, -72.69231, 0
496.6092, 17, 419, 116, -72.69231, 0
496.6305, 17, 418, 116, -72.69231, 0
496.6449, 17, 419, 116, -72.69231, 0
496.6637, 16, 419, 116, -72.69231, 0
496.6848, 16, 419, 116, -72.69231, 0
496.7052, 16, 419, 116, -72.69231, 0
496.7257, 17, 419, 116, -72.69231, 0
496.7457, 17, 419, 116, -72.69231, 0
496.7622, 16, 419, 116, -72.69231, 0
496.7829, 17, 419, 116, -72.69231, 0
496.8032, 17, 419, 116, -72.69231, 0
496.8237, 17, 419, 116, -72.69231, 0
496.8445, 17, 418, 116, -72.69231, 0
496.864, 17, 418, 116, -72.69231, 0
496.8806, 17, 419, 116, -72.69231, 0
496.9001, 17, 419, 116, -72.69231, 0
496.9212, 16, 419, 116, -72.69231, 0
496.9419, 16, 419, 116, -72.69231, 0
496.9621, 16, 419, 116, -72.69231, 0
496.9837, 16, 419, 116, -72.69231, 0
496.9989, 16, 419, 116, -72.69231, 0
497.0189, 17, 419, 116, -72.69231, 0
497.0402, 16, 419, 116, -72.69231, 0
497.061, 16, 419, 116, -72.69231, 0
497.0805, 17, 420, 116, -72.69231, 0
497.0972, 17, 419, 116, -72.69231, 0
497.1174, 16, 419, 116, -72.69231, 0
497.1395, 17, 419, 116, -72.69231, 0
497.1619, 17, 419, 116, -72.69231, 0
497.1795, 17, 419, 116, -72.69231, 0
497.1997, 16, 419, 116, -72.69231, 0
497.2164, 16, 419, 116, -72.69231, 0
497.2364, 16, 419, 116, -72.69231, 0
497.2575, 17, 419, 116, -72.69231, 0
497.2785, 17, 419, 116, -72.69231, 0
497.2993, 16, 419, 116, -72.69231, 0
497.3191, 16, 419, 116, -72.69231, 0
497.3358, 17, 419, 116, -72.69231, 0
497.3562, 16, 419, 116, -72.69231, 0
497.3776, 17, 419, 116, -72.69231, 0
497.3972, 16, 418, 116, -72.69231, 0
497.4174, 17, 419, 116, -72.69231, 0
497.447, 17, 419, 116, -72.69231, 0
497.4547, 17, 419, 116, -72.69231, 0
497.4732, 17, 419, 116, -72.69231, 0
497.4945, 17, 419, 116, -72.69231, 0
497.5153, 17, 419, 116, -72.69231, 0
497.5357, 17, 419, 116, -72.69231, 0
497.5559, 17, 419, 116, -72.69231, 0
497.5731, 17, 419, 116, -72.69231, 0
497.5945, 16, 419, 116, -72.69231, 0
497.6181, 17, 419, 116, -72.69231, 0
497.6347, 17, 419, 116, -72.69231, 0
497.6539, 17, 420, 116, -72.69231, 0
497.6753, 16, 419, 116, -72.69231, 0
497.6916, 16, 419, 116, -72.69231, 0
497.7126, 17, 419, 116, -72.69231, 0
497.7342, 17, 419, 116, -72.69231, 0
497.7546, 17, 419, 116, -72.69231, 0
497.7742, 17, 419, 116, -72.69231, 0
497.7892, 16, 419, 116, -72.69231, 0
497.8106, 16, 419, 116, -72.69231, 0
497.8308, 16, 419, 116, -72.69231, 0
497.8509, 16, 419, 116, -72.69231, 0
497.8712, 17, 419, 116, -72.69231, 0
497.8918, 17, 419, 116, -72.69231, 0
497.9081, 16, 419, 116, -72.69231, 0
497.9297, 16, 419, 116, -72.69231, 0
497.9519, 16, 419, 116, -72.69231, 0
497.9713, 17, 419, 116, -72.69231, 0
497.9929, 16, 419, 116, -72.69231, 0
498.0136, 16, 419, 116, -72.69231, 0
498.0314, 17, 420, 116, -72.69231, 0
498.051, 16, 419, 116, -72.69231, 0
498.0692, 16, 420, 116, -72.69231, 0
498.0902, 16, 419, 116, -72.69231, 0
498.1104, 17, 419, 116, -72.69231, 0
498.1302, 17, 419, 116, -72.69231, 0
498.1472, 16, 419, 116, -72.69231, 0
498.1663, 17, 419, 116, -72.69231, 0
498.1871, 17, 420, 116, -72.69231, 0
498.2082, 17, 419, 116, -72.69231, 0
498.2284, 16, 419, 116, -72.69231, 0
498.2486, 17, 419, 116, -72.69231, 0
498.2668, 17, 419, 116, -72.69231, 0
498.2859, 16, 419, 116, -72.69231, 0
498.3069, 16, 419, 116, -72.69231, 0
498.3282, 16, 419, 116, -72.69231, 0
498.3483, 17, 418, 116, -72.69231, 0
498.3713, 17, 419, 116, -72.69231, 0
498.3855, 16, 419, 116, -72.69231, 0
498.4069, 17, 420, 116, -72.69231, 0
498.426, 17, 419, 116, -72.69231, 0
498.4466, 16, 419, 116, -72.69231, 0
498.466, 17, 420, 116, -72.69231, 0
498.4826, 17, 419, 116, -72.69231, 0
498.5036, 17, 419, 116, -72.69231, 0
498.5229, 17, 419, 116, -72.69231, 0
498.5437, 17, 419, 116, -72.69231, 0
498.5668, 16, 419, 116, -72.69231, 0
498.5848, 17, 419, 116, -72.69231, 0
498.6015, 17, 420, 116, -72.69231, 0
498.6209, 17, 419, 116, -72.69231, 0
498.6429, 17, 420, 116, -72.69231, 0
498.6618, 16, 420, 116, -72.69231, 0
498.6823, 17, 419, 116, -72.69231, 0
498.7042, 16, 419, 116, -72.69231, 0
498.72, 17, 419, 116, -72.69231, 0
498.7404, 17, 419, 116, -72.69231, 0
498.7605, 17, 420, 116, -72.69231, 0
498.7867, 16, 419, 116, -72.69231, 0
498.8015, 16, 419, 116, -72.69231, 0
498.8214, 17, 419, 116, -72.69231, 0
498.8376, 17, 419, 116, -72.69231, 0
498.8587, 17, 419, 116, -72.69231, 0
498.8797, 17, 419, 116, -72.69231, 0
498.8993, 16, 419, 116, -72.69231, 0
498.9202, 16, 419, 116, -72.69231, 0
498.9412, 16, 419, 116, -72.69231, 0
498.9566, 16, 419, 116, -72.69231, 0
498.9773, 17, 419, 116, -72.69231, 0
498.9975, 16, 419, 116, -72.69231, 0
499.0181, 17, 419, 116, -72.69231, 0
499.0385, 16, 419, 116, -72.69231, 0
499.0594, 16, 419, 116, -72.69231, 0
499.0764, 17, 419, 116, -72.69231, 0
499.0956, 16, 420, 116, -72.69231, 0
499.1161, 16, 420, 116, -72.69231, 0
499.1365, 17, 420, 116, -72.69231, 0
499.1571, 16, 419, 116, -72.69231, 0
499.1756, 17, 419, 116, -72.69231, 0
499.194, 17, 420, 116, -72.69231, 0
499.2146, 17, 420, 116, -72.69231, 0
499.235, 17, 420, 116, -72.69231, 0
499.2549, 17, 420, 116, -72.69231, 0
499.2767, 17, 419, 116, -72.69231, 0
499.2935, 17, 419, 116, -72.69231, 0
499.3132, 16, 420, 116, -72.69231, 0
499.3333, 17, 420, 116, -72.69231, 0
499.3536, 16, 419, 116, -72.69231, 0
499.3743, 16, 419, 116, -72.69231, 0
499.3945, 16, 419, 116, -72.69231, 0
499.411, 16, 419, 116, -72.69231, 0
499.4316, 17, 419, 116, -72.69231, 0
499.4552, 16, 420, 116, -72.69231, 0
499.4717, 17, 420, 116, -72.69231, 0
499.4942, 17, 420, 116, -72.69231, 0
499.5139, 17, 420, 116, -72.69231, 0
499.5299, 17, 420, 116, -72.69231, 0
499.5497, 17, 420, 116, -72.69231, 0
499.5709, 17, 420, 116, -72.69231, 0
499.5922, 16, 419, 116, -72.69231, 0
499.6114, 17, 420, 116, -72.69231, 0
499.6321, 16, 420, 116, -72.69231, 0
499.6482, 16, 420, 116, -72.69231, 0
499.6688, 16, 420, 116, -72.69231, 0
499.6888, 17, 420, 116, -72.69231, 0
499.7103, 17, 419, 116, -72.69231, 0
499.7305, 17, 420, 116, -72.69231, 0
499.7506, 17, 420, 116, -72.69231, 0
499.7671, 17, 419, 116, -72.69231, 0
499.7877, 17, 419, 116, -72.69231, 0
499.809, 17, 419, 116, -72.69231, 0
499.8283, 17, 419, 116, -72.69231, 0
499.849, 17, 419, 116, -72.69231, 0
499.8653, 17, 419, 116, -72.69231, 0
499.886, 16, 419, 116, -72.69231, 0
499.9065, 17, 420, 116, -72.69231, 0
499.9275, 17, 420, 116, -72.69231, 0
499.948, 17, 420, 116, -72.69231, 0
499.9687, 17, 419, 116, -72.69231, 0
499.9842, 17, 419, 116, -72.69231, 0
500.0047, 16, 419, 116, -72.69231, 0
500.0259, 17, 419, 116, -72.69231, 0
500.0457, 17, 419, 116, -72.69231, 0
500.0659, 16, 418, 116, -72.69231, 0
500.0865, 17, 419, 116, -72.69231, 0
500.1028, 17, 419, 116, -72.69231, 0
500.1232, 16, 419, 116, -72.69231, 0
500.1441, 16, 418, 116, -72.69231, 0
500.1646, 17, 419, 116, -72.69231, 0
500.1865, 17, 419, 116, -72.69231, 0
500.2049, 17, 419, 116, -72.69231, 0
500.2215, 17, 419, 116, -72.69231, 0
500.2443, 16, 419, 116, -72.69231, 0
500.2633, 17, 419, 116, -72.69231, 0
500.2838, 16, 419, 116, -72.69231, 0
500.3033, 17, 419, 116, -72.69231, 0
500.3242, 17, 419, 116, -72.69231, 0
500.3412, 16, 419, 116, -72.69231, 0
500.361, 17, 419, 116, -72.69231, 0
500.3814, 16, 419, 116, -72.69231, 0
500.4018, 17, 419, 116, -72.69231, 0
500.4227, 17, 419, 116, -72.69231, 0
500.4435, 17, 419, 116, -72.69231, 0
500.4607, 16, 419, 116, -72.69231, 0
500.4799, 17, 419, 116, -72.69231, 0
500.4999, 16, 419, 116, -72.69231, 0
500.5206, 17, 418, 116, -72.69231, 0
500.5424, 16, 419, 116, -72.69231, 0
500.5609, 17, 419, 116, -72.69231, 0
500.5781, 17, 419, 116, -72.69231, 0
500.5981, 16, 418, 116, -72.69231, 0
500.6189, 16, 418, 116, -72.69231, 0
500.6392, 16, 417, 116, -72.69231, 0
500.6605, 17, 418, 116, -72.69231, 0
