UA-Ange: 0, ForearmStretched: 200, Forearm: 79, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
17.74055, 114, 442, 150, -37.19008, 180
17.74055, 109, 449, 157, -31.98347, 180
17.76055, 105, 440, 158, -31.23967, 180
17.78249, 94, 442, 158, -31.23967, 180
17.79517, 87, 442, 159, -30.49587, 180
17.80879, 79, 441, 160, -29.75207, 180
17.82412, 72, 442, 161, -29.00826, 180
17.8403, 68, 441, 161, -29.00826, 180
17.86846, 64, 441, 163, -27.52066, 180
17.87534, 60, 441, 163, -27.52066, 180
17.8891, 54, 441, 164, -26.77686, 180
17.90471, 52, 441, 162, -28.26446, 180
17.9171, 439, 185, 163, -27.52066, 120
17.9313, 116, 441, 155, -33.47107, 180
17.95288, 114, 442, 150, -37.19008, 180
17.97834, 109, 449, 157, -31.98347, 180
17.99201, 105, 440, 158, -31.23967, 180
18.01159, 94, 442, 158, -31.23967, 180
18.02453, 87, 442, 159, -30.49587, 180
18.04836, 79, 441, 160, -29.75207, 180
18.06417, 72, 442, 161, -29.00826, 180
18.08809, 68, 441, 161, -29.00826, 180
18.10057, 64, 441, 163, -27.52066, 180
18.11292, 60, 441, 163, -27.52066, 180
18.12954, 54, 441, 164, -26.77686, 180
18.1481, 52, 441, 162, -28.26446, 180
18.16148, 180, 697, 163, -27.52066, 40191
18.17984, 38, 442, 162, -28.26446, 180
18.19341, 34, 441, 163, -27.52066, 180
18.21227, 32, 441, 164, -26.77686, 180
18.22446, 31, 440, 168, -23.80165, 180
18.23976, 30, 440, 169, -23.05785, 180
18.25537, 27, 440, 169, -23.05785, 180
18.2706, 26, 440, 169, -23.05785, 180
18.28895, 25, 440, 168, -23.80165, 180
18.30436, 24, 440, 168, -23.80165, 180
18.31882, 25, 440, 168, -23.80165, 180
18.33548, 24, 440, 170, -22.31405, 180
18.34944, 23, 440, 171, -21.57025, 180
18.36688, 23, 441, 171, -21.57025, 180
18.38012, 23, 440, 173, -20.08265, 180
18.39562, 23, 439, 174, -19.33884, 180
18.40862, 25, 439, 176, -17.85124, 180
18.42202, 24, 439, 175, -18.59504, 180
18.43926, 22, 439, 175, -18.59504, 180
18.45371, 23, 439, 175, -18.59504, 180
18.46899, 23, 438, 175, -18.59504, 180
18.48116, 23, 438, 175, -18.59504, 180
18.49741, 23, 439, 175, -18.59504, 180
18.50904, 23, 438, 175, -18.59504, 180
18.51944, 22, 438, 175, -18.59504, 180
18.53519, 24, 438, 174, -19.33884, 180
18.54867, 24, 439, 172, -20.82645, 180
18.56075, 24, 440, 171, -21.57025, 180
18.57316, 24, 441, 171, -21.57025, 180
18.58984, 22, 441, 171, -21.57025, 180
18.60145, 22, 442, 171, -21.57025, 180
18.62213, 21, 442, 173, -20.08265, 180
18.63498, 24, 442, 173, -20.08265, 180
18.65427, 22, 442, 174, -19.33884, 180
18.66795, 23, 441, 177, -17.10744, 180
18.68241, 25, 442, 176, -17.85124, 180
18.69685, 29, 441, 176, -17.85124, 180
18.71383, 29, 440, 177, -17.10744, 180
18.73092, 30, 440, 176, -17.85124, 180
18.74972, 33, 442, 176, -17.85124, 180
18.77192, 35, 441, 171, -21.57025, 180
18.78819, 37, 442, 177, -17.10744, 180
18.82327, 38, 442, 178, -16.36364, 180
18.83703, 43, 442, 178, -16.36364, 180
18.86971, 46, 442, 179, -15.61983, 180
18.87713, 50, 442, 180, -14.87603, 180
18.89192, 55, 442, 181, -14.13223, 180
18.92088, 60, 441, 184, -11.90083, 180
18.92833, 66, 441, 183, -12.64463, 180
18.94391, 66, 442, 183, -12.64463, 180
18.976, 68, 441, 184, -11.90083, 180
18.99016, 70, 442, 184, -11.90083, 180
19.00587, 72, 441, 184, -11.90083, 180
19.03127, 75, 441, 184, -11.90083, 180
19.04008, 75, 441, 184, -11.90083, 180
19.06305, 77, 442, 184, -11.90083, 180
19.07312, 76, 442, 184, -11.90083, 180
19.10497, 77, 442, 184, -11.90083, 180
19.11959, 78, 441, 184, -11.90083, 180
19.13438, 77, 442, 184, -11.90083, 180
19.14869, 79, 441, 184, -11.90083, 180
