UA-Ange: 0, ForearmStretched: 239, Forearm: 110, LeftArm? Yes
Time, EMG-Signal, Force-Value, Elbow-Angle, Transformed-Angle, MotorTarget
194.5708, 98, 413, 116, -85.81396, 0
194.5708, 110, 414, 116, -85.81396, 0
194.5907, 118, 413, 117, -85.11628, 0
194.6117, 126, 413, 116, -85.81396, 0
194.6291, 136, 413, 116, -85.81396, 0
194.6481, 148, 413, 116, -85.81396, 0
194.6585, 155, 414, 116, -85.81396, 0
194.6764, 157, 414, 116, -85.81396, 0
194.694, 158, 415, 116, -85.81396, 0
194.7102, 164, 415, 116, -85.81396, 0
194.7263, 175, 415, 116, -85.81396, 0
194.7533, 185, 416, 116, -85.81396, 0
194.7683, 200, 415, 116, -85.81396, 0
194.7847, 203, 415, 116, -85.81396, 0
194.8154, 204, 416, 116, -85.81396, 0
194.8304, 203, 415, 116, -85.81396, 0
194.8455, 206, 416, 116, -85.81396, 0
194.8608, 212, 415, 116, -85.81396, 0
194.8876, 219, 415, 116, -85.81396, 0
194.9051, 214, 415, 117, -85.11628, 0
194.9266, 217, 414, 116, -85.81396, 0
194.942, 226, 414, 116, -85.81396, 0
194.9585, 235, 414, 116, -85.81396, 0
194.9736, 243, 414, 116, -85.81396, 0
194.9913, 248, 413, 116, -85.81396, 0
195.0069, 250, 413, 116, -85.81396, 0
195.0241, 259, 413, 116, -85.81396, 0
195.0397, 258, 413, 116, -85.81396, 0
195.0689, 254, 413, 116, -85.81396, 0
195.109, 252, 412, 116, -85.81396, 0
195.1221, 261, 412, 116, -85.81396, 0
195.1393, 272, 411, 116, -85.81396, 0
195.153, 280, 410, 116, -85.81396, 0
195.1726, 292, 410, 116, -85.81396, 0
195.1878, 309, 409, 117, -85.11628, 0
195.2052, 313, 407, 117, -85.11628, 0
195.2221, 316, 406, 117, -85.11628, 0
195.2369, 320, 405, 117, -85.11628, 0
195.2651, 324, 404, 120, -83.02325, 0
195.283, 334, 401, 121, -82.32558, 0
195.2997, 338, 404, 123, -80.93023, 0
195.3147, 352, 404, 125, -79.53488, 0
195.3289, 357, 406, 119, -83.72093, 0
195.3504, 376, 407, 123, -80.93023, 0
195.3648, 397, 408, 121, -82.32558, 0
195.376, 429, 408, 119, -83.72093, 0
195.4052, 459, 408, 120, -83.02325, 0
195.4194, 489, 407, 120, -83.02325, 0
195.4432, 513, 408, 120, -83.02325, 0
195.4577, 533, 408, 120, -83.02325, 0
195.4713, 541, 407, 120, -83.02325, 0
195.4899, 537, 407, 120, -83.02325, 0
195.5054, 540, 407, 120, -83.02325, 0
195.5229, 531, 407, 120, -83.02325, 0
195.5381, 522, 407, 120, -83.02325, 0
195.5555, 509, 406, 120, -83.02325, 0
195.5706, 503, 405, 120, -83.02325, 0
195.5868, 488, 405, 120, -83.02325, 0
195.6055, 468, 404, 120, -83.02325, 0
195.62, 450, 403, 122, -81.62791, 0
195.6327, 429, 403, 123, -80.93023, 0
195.6683, 418, 402, 123, -80.93023, 0
195.6781, 405, 401, 125, -79.53488, 0
195.6891, 388, 400, 126, -78.83721, 0
195.7058, 381, 399, 128, -77.44186, 180
195.7193, 345, 405, 101, -96.27907, 180
195.7443, 307, 418, 81, -110.2326, 180
195.7557, 285, 432, 81, -110.2326, 180
195.7671, 278, 437, 86, -106.7442, 180
195.788, 277, 443, 93, -101.8605, 180
195.8041, 267, 449, 99, -97.67442, 180
195.8167, 264, 443, 112, -88.60465, 180
195.8367, 280, 442, 117, -85.11628, 180
195.8506, 296, 442, 128, -77.44186, 180
195.8672, 315, 440, 132, -74.65116, 180
195.8855, 333, 441, 132, -74.65116, 180
195.9002, 347, 439, 137, -71.16279, 180
195.9171, 366, 440, 140, -69.06977, 180
195.9396, 359, 439, 142, -67.67442, 180
195.9589, 347, 438, 148, -63.48837, 180
195.9768, 334, 442, 152, -60.69767, 180
195.9979, 317, 439, 149, -62.7907, 180
196.0175, 290, 452, 160, -55.11628, 180
196.0383, 281, 439, 162, -53.72093, 180
196.0593, 262, 445, 166, -50.93023, 180
196.0758, 242, 440, 171, -47.44186, 180
196.0933, 212, 440, 176, -43.95349, 180
196.1172, 193, 442, 186, -36.97675, 180
196.1345, 200, 442, 191, -33.48837, 180
196.1561, 216, 444, 189, -34.88372, 180
196.1752, 231, 442, 200, -27.2093, 180
196.191, 250, 442, 202, -25.81395, 180
196.2118, 256, 443, 211, -19.53488, 180
196.2321, 247, 442, 216, -16.04651, 180
196.2535, 235, 439, 219, -13.95349, 180
196.2735, 216, 437, 220, -13.25581, 180
196.303, 197, 431, 214, -17.44186, 180
196.3153, 188, 428, 208, -21.62791, 180
196.3303, 173, 420, 197, -29.30233, 180
196.3511, 152, 439, 168, -49.53489, 180
196.3733, 128, 461, 168, -49.53489, 0
196.3918, 164, 446, 232, -4.883721, 0
196.4116, 160, 444, 216, -16.04651, 0
196.4288, 157, 446, 196, -30, 0
196.449, 144, 444, 183, -39.06977, 0
196.4752, 132, 442, 173, -46.04651, 0
196.4924, 123, 440, 177, -43.25581, 0
196.5113, 119, 432, 181, -40.46511, 0
196.5283, 116, 428, 184, -38.37209, 0
196.5469, 119, 424, 191, -33.48837, 0
196.568, 112, 423, 196, -30, 0
196.5892, 108, 422, 199, -27.90698, 0
196.6096, 104, 422, 201, -26.51163, 0
196.6301, 102, 421, 203, -25.11628, 0
196.6457, 100, 422, 203, -25.11628, 0
196.6661, 106, 423, 201, -26.51163, 0
196.6878, 124, 423, 199, -27.90698, 0
196.7073, 129, 424, 196, -30, 0
196.7277, 130, 422, 194, -31.39535, 0
196.7475, 115, 429, 189, -34.88372, 0
196.7651, 110, 423, 194, -31.39535, 0
196.786, 125, 423, 194, -31.39535, 0
196.8055, 119, 423, 192, -32.7907, 0
196.8271, 107, 423, 193, -32.09302, 0
196.8459, 99, 422, 196, -30, 0
196.867, 100, 421, 198, -28.60465, 0
196.8857, 91, 421, 200, -27.2093, 0
196.9032, 89, 420, 200, -27.2093, 0
196.9242, 123, 420, 200, -27.2093, 0
196.9451, 134, 420, 200, -27.2093, 0
196.9651, 140, 420, 202, -25.81395, 0
196.9867, 146, 421, 201, -26.51163, 0
197.0028, 149, 422, 201, -26.51163, 0
197.0235, 145, 423, 200, -27.2093, 0
197.0445, 149, 422, 201, -26.51163, 0
197.0638, 154, 422, 201, -26.51163, 0
197.0856, 145, 422, 201, -26.51163, 0
197.1061, 128, 422, 201, -26.51163, 0
197.1241, 119, 422, 201, -26.51163, 0
197.1414, 118, 421, 201, -26.51163, 0
197.1618, 117, 422, 201, -26.51163, 0
197.1822, 111, 423, 201, -26.51163, 0
197.2033, 97, 423, 201, -26.51163, 0
197.2232, 91, 423, 200, -27.2093, 0
197.2398, 90, 423, 199, -27.90698, 0
197.2605, 90, 424, 197, -29.30233, 0
197.2805, 91, 424, 194, -31.39535, 0
197.3009, 98, 423, 187, -36.27907, 0
